Model,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel,Fuel_Consumption,,CO2_Emissions,CO2,Smog
2023,Chevrolet,Suburban 4WD,SUV: Standard,5.3,8,A10,X,16,12.7,339,3,6
2023,Chevrolet,Suburban 4WD,SUV: Standard,6.2,8,A10,Z,16.6,13.1,352,3,6
2023,Chevrolet,Tahoe,SUV: Standard,3,6,A10,D,11,8.5,265,4,3
2023,Chevrolet,Tahoe,SUV: Standard,5.3,8,A10,X,15.8,11.8,327,3,6
2023,Chevrolet,Tahoe 4WD,SUV: Standard,3,6,A10,D,11.7,9,281,4,3
2023,Chevrolet,Tahoe 4WD,SUV: Standard,5.3,8,A10,X,15.8,11.8,327,3,6
2023,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.6,13.1,352,3,6
2023,Chevrolet,Trailblazer,SUV: Small,1.2,3,AV,X,8,7.6,184,6,7
2023,Chevrolet,Trailblazer,SUV: Small,1.3,3,AV,X,8.1,7.2,180,6,7
2023,Chevrolet,Trailblazer AWD,SUV: Small,1.3,3,A9,X,8.9,7.8,197,6,7
2023,Chevrolet,Traverse AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,277,4,6
2023,Chrysler,300,Full-size,3.6,6,A8,X,12.4,7.8,242,5,5
2023,Chrysler,300,Full-size,5.7,8,A8,X,14.7,9.4,289,4,3
2023,Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,258,4,5
2023,Chrysler,300C,Full-size,6.4,8,A8,Z,15.9,9.6,307,4,1
2023,Chrysler,Grand Caravan,Minivan,3.6,6,A9,X,12.4,8.4,249,5,7
2023,Chrysler,Pacifica,Minivan,3.6,6,A9,X,12.4,8.4,249,5,7
2023,Chrysler,Pacifica AWD,Minivan,3.6,6,A9,X,14.1,9.4,279,4,7
2023,Dodge,Challenger,Mid-size,3.6,6,A8,X,12.4,7.8,242,5,5
2023,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,289,4,3
2023,Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,307,4,1
2023,Dodge,Challenger (MDS),Mid-size,6.4,8,A8,Z,15.9,9.6,307,4,1
2023,Dodge,Challenger,Mid-size,6.4,8,M6,Z,16.7,10.4,325,3,1
2023,Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,258,4,5
